ngram,freq
question,62151117
known,61907917
black,61772786
feel,61729758
rights,61667145
analysis,61601011
city,61596892
heart,61569539
support,61345499
child,61290282
present,60696387
able,60281617
almost,60212857
line,60183589
keep,60036183
act,59871790
hands,59755986
above,59724230
problem,59563752
anything,59538868
further,59174602
either,59140771
area,58218785
sense,57384977
common,57366513
real,57362655
local,57329593
low,57176576
taken,57081148
experience,56942725
behind,56927900
moment,56898410
full,56556009
free,56429074
education,56206614
management,56174017
looking,56115631
yes,55922912
show,55884669
service,55709548
therefore,55701126
students,55653607
nature,55633293
death,55607338
studies,55594926
five,55218631
learning,55208057
knowledge,55005521
word,54994882
company,54974640
voice,54957480
economic,54824982
energy,54760734
country,54493580
past,54408849
mean,53935541
air,53782513
kind,53769793
began,53701062
hard,53558871
type,53317922
society,53181943
view,53097746
results,53067306
particular,52752429
language,52710669
half,52600870
working,52486932
role,52367827
certain,52340698
food,52219769
due,52092643
effect,52017790
court,51989552
call,51986702
policy,51918441
true,51867294
individual,51756750
party,51723834
money,51531929
result,51446119
risk,51435261
age,51345139
gave,51266829
approach,51187511
doing,51036916
per,51002087
systems,50904777
community,50783398
action,50767323
seemed,50627664
front,50621301
available,50616393
matter,50544319
close,50490206
provide,50200341
specific,50039040
terms,49976635
held,49965534
idea,49943770
English,49885147
toward,49811079
period,49630370
theory,49402821
everything,49387933
heard,49308035
interest,49222248
term,49137125
non,49002121
short,48986554
perhaps,48838622
class,48648231
needed,48383420
became,48105791
space,48033450
function,47954168
century,47937665
future,47892925
journal,47815536
evidence,47796830
land,47756611
rate,47692709
practice,47614156
believe,47493636
itself,47487045
someone,47477372
position,47452316
field,47391607
third,47383436
single,47370488
according,47364844
patients,47102904
clear,47072921
especially,47063848
blood,47020285
understand,46994986
turn,46947230
big,46843745
themselves,46603762
quite,46064963
report,45872461
says,45771288
treatment,45746681
reason,45419063
cases,45304534
market,45228410
services,45150340
office,45147574
taking,44925238
members,44882416
related,44855471
story,44753857
read,44703601
soon,44698943
king,44698879
problems,44470595
similar,44403518
major,44392667
include,44226792
higher,44077274
changes,43980918
finally,43957360
outside,43787653
groups,43636004
church,43544146
various,43478244
instead,43454562
living,43448395
leave,43158595
inside,43153753
top,43151926
south,43019168
relationship,42931513
conditions,42866279
started,42691441
sometimes,42583901
required,42543513
today,42449541
science,42267619
questions,42262022
total,42219879
shown,42164660
effects,42062609
current,41986285
subject,41909994
else,41895167
project,41883877
force,41796583
structure,41765154
play,41582598
ways,41540318
usually,41495509
method,41368685
natural,41351857
performance,41224565
son,41169087
design,41024466
brought,40963351
considered,40953105
main,40952178
lord,40878501
likely,40846840
red,40794713
review,40750203
ask,40675497
needs,40648764
test,40574630
probably,40517519
thinking,40472146
production,40320323
response,40293743
key,40259386
live,40252514
building,40203860
necessary,40202597
answer,40139690
plan,40061067
personal,39991812
culture,39961011
ground,39937533
program,39899422
morning,39874600
values,39748114
late,39692521
attention,39670164
herself,39598797
oh,39531136
strong,39517381
move,39494775
talk,39382639
security,39345698
cell,39340694
trying,39334150
makes,39298285
return,39229443
note,39155113
longer,39099654
understanding,39036324
start,38934912
run,38921466
associated,38684858
special,38668303
job,38559351
physical,38554688
north,38422379
lot,38404549
coming,38364921
maybe,38305870
feet,38302616
countries,38281692
account,38281603
cost,38272162
whose,38252360
series,38216969
growth,38102651
activity,37929117
rest,37889160
car,37817296
lost,37790149
art,37773770
alone,37699878
potential,37618738
cause,37582847
getting,37538726
decision,37536171
issues,37359829
friends,37336923
increase,37311228
myself,37287332
minutes,37268623
near,37239742
hours,37204138
provided,37182850
stood,36929666
material,36926825
lower,36792630
actually,36759755
patient,36690204
quality,36657134
simply,36635788
content,36629501
source,36584168
paper,36463821
step,36437070
significant,36198916
surface,36197287
hair,36186376
six,36180489
areas,36131458
deep,36126903
fire,36097230
bed,36093974
hear,36022565
central,35962229
friend,35897707
towards,35886255
sound,35866149
try,35852856
financial,35850873
tried,35822973
beyond,35806861
dark,35763929
cultural,35666051
stop,35653459
range,35598073
size,35316871
percent,35300502
girl,35119279
remember,35043274
disease,35013323
situation,35008514
continued,35001458
seems,34995306
middle,34918925
indeed,34896740
private,34870835
gone,34815239
population,34719701
months,34715697
cells,34669655
activities,34628885
difficult,34598784
followed,34595572
Jesus,34563878
parents,34426574
pain,34350199
sat,34332254
described,34249503
British,34111523
bring,34095732
wife,34008238
earth,33938132
everyone,33888941
property,33882426
image,33832495
consider,33804894
levels,33780479
bad,33559366
hope,33554913
amount,33522044
below,33507843
center,33430620
writing,33345425
written,33290684
modern,33109775
dead,33108594
addition,33103168
arms,33079166
greater,33038241
technology,32959957
truth,32933391
access,32923684
poor,32900062
movement,32890248
shows,32801843
hold,32730766
feeling,32702207
focus,32673941
European,32666430
music,32663813
road,32647124
increased,32634893
simple,32634483
street,32592461
resources,32588799
nor,32563590
global,32561673
text,32542095
lead,32436527
kept,32301939
factors,32301378
training,32300900
trade,32256136
department,32246752
environment,32245325
town,32243217
methods,32061888
developed,32032608
news,32006601
led,31987469
involved,31900284
particularly,31867266
quickly,31837037
moved,31790110
books,31765606
positive,31629391
standard,31624554
reading,31624138
west,31606608
forward,31605032
pressure,31601872
mouth,31589435
military,31496713
create,31493122
medical,31483015
legal,31474551
application,31394902
organization,31306236
bit,31277508
loss,31270675
context,31237637
behavior,31213978
team,31173773
la,31158711
foreign,31154722
wall,31123617
forms,31103452
works,30952533
meet,30926648
rule,30925898
happened,30925319
effective,30776210
events,30749485
whom,30708337
complex,30696427
met,30639648
product,30625828
issue,30565625
reached,30489457
walked,30435893
points,30297789
impact,30236533
added,30205195
follow,30130440
sent,30064879
rules,30025159
lives,30017028
influence,29976368
cut,29935805
green,29914361
expression,29883207
earlier,29860643
media,29843833
generally,29779876
floor,29725724
individuals,29710671
purpose,29708594
pay,29670564
ten,29658423
America,29656553
stay,29619818
final,29610101
comes,29552761
types,29530437
wrong,29529840
complete,29499036
ready,29487870
normal,29458476
basis,29450231
list,29426012
presence,29423492
stage,29417884
critical,29265682
twenty,29257705
seem,29230227
French,29215693
difference,29190285
meaning,29171457
anyone,29157535
sea,29055227
saying,28966272
cold,28942566
basic,28829785
direct,28826727
beginning,28822252
received,28809432
week,28681181
fear,28603517
expected,28592757
price,28571072
cross,28527534
capital,28461999
police,28435717
China,28411918
respect,28408599
spirit,28371338
clearly,28314339
fine,28276136
president,28233917
opened,28218149
religious,28180205
east,28149121
limited,28146632
additional,28135761
post,28096046
boy,27915697
page,27760626
ability,27741613
speak,27700247
brother,27692755
income,27568829
defined,27554521
letter,27551190
parts,27539179
share,27523799
easy,27427275
eye,27413932
products,27307567
processes,27279449
river,27234564
choice,27222819
recent,27153557
pulled,27117250
published,27108652
date,27107546
network,27095257
created,27081269
deal,27072055
wide,26973737
ed,26952014
object,26888602
game,26879361
federal,26849540
meeting,26844823
fall,26812606
bank,26747769
blue,26736104
smile,26734076
directly,26666720
passed,26620594
region,26602921
site,26588496
skin,26584163
allow,26583540
reported,26531457
solution,26528778
established,26483399
sir,26462190
authority,26461089
provides,26431223
phone,26367280
appropriate,26342802
primary,26318659
despite,26301689
brain,26298008
memory,26278659
mark,26265299
original,26262759
direction,26249508
hour,26173652
oil,26171093
box,26154946
distance,26152591
learn,26142321
arm,26132137
except,26116692
status,26059582
communication,26021777
flow,26009288
takes,26008658
member,25961188
closed,25888957
ago,25888006
die,25867787
elements,25863119
worked,25856544
please,25817471
window,25813747
contact,25791234
models,25760992
board,25709832
lines,25692074
ideas,25682939
average,25656383
yourself,25602757
species,25595767
college,25561725
standing,25535200
distribution,25475864
trust,25467301
heat,25452470
immediately,25450591
justice,25398173
included,25374914
throughout,25369287
sun,25362547
entire,25278242
army,25243232
condition,25209866
industry,25208878
tax,25205856
applied,25172137
volume,25150426
round,25138580
decided,25137661
add,25134410
meant,25083049
happy,25077313
whatever,25062335
stand,24989552
temperature,24943289
mass,24934328
discussion,24916863
weight,24916834
concept,24872158
costs,24765751
running,24704773
talking,24666930
features,24634273
million,24625508
environmental,24616177
moving,24488840
German,24485653
giving,24483784
association,24483006
placed,24403869
stopped,24365119
union,24342735
re,24319939
Europe,24286024
degree,24284205
identity,24267055
historical,24244888
negative,24204615
student,24201828
success,24188047
suddenly,24170220
offer,24164000
code,24121252
sleep,24080998
scale,24072710
character,24038419
clinical,24032026
staff,24025596
Christ,23988574
event,23978264
relations,23969786
western,23951166
changed,23936927
walk,23925018
wrote,23922405
workers,23785916
returned,23776054
politics,23774697
lack,23772104
multiple,23767027
certainly,23737900
faith,23727349
length,23717931
materials,23693038
march,23684654
previous,23640312
write,23640100
presented,23625208
phase,23622352
article,23602592
author,23586138
appear,23525989
literature,23475567
assessment,23462529
peace,23434190
husband,23363572
strength,23344159
forces,23320423
chance,23310959
onto,23274482
allowed,23244563
continue,23164580
sort,23158701
weeks,23135384
England,23088796
steps,23086496
task,23021884
miss,22981476
carried,22920642
civil,22913800
produced,22906919
address,22905295
numbers,22905256
differences,22860009
hundred,22852265
Bible,22832473
active,22797061
observed,22795120
nearly,22791072
computer,22776074
planning,22774413
brown,22773799
base,22763833
film,22734094
actions,22718761
beautiful,22701250
importance,22669428
traditional,22665191
appeared,22640753
died,22640140
waiting,22613124
hot,22590053
compared,22576318
June,22507006
former,22500561
develop,22498966
protection,22494376
explain,22480417
discussed,22477773
daily,22473316
determined,22460941
statement,22455788
practices,22408272
reference,22401124
unit,22393752
thank,22380778
seven,22353138
showed,22350943
easily,22338092
ones,22324284
exactly,22303597
smiled,22292896
ran,22259449
becomes,22239518
slowly,22234881
reality,22201741
sex,22199670
built,22197614
completely,22183826
neither,22154970
companies,22151076
fell,22150584
factor,22102586
skills,22089934
places,22082578
strategy,22078009
lady,22063149
breath,22059057
professional,22037521
wait,21992071
glass,21988927
born,21983426
drug,21945458
larger,21868044
safety,21858101
council,21819546
introduction,21784341
lived,21781643
none,21769211
functions,21734525
stress,21724964
raised,21719564
requirements,21709138
couple,21680681
obtained,21680444
failure,21670481
properties,21604147
sources,21587838
search,21553534
highly,21548801
mental,21494920
baby,21473635
committee,21435628
daughter,21430532
internal,21407059
commission,21397173
master,21382802
agreement,21332413
opportunity,21329271
economy,21319182
examples,21290797
initial,21287164
programs,21278176
notes,21264777
determine,21243240
tree,21222328
lay,21215802
record,21201262
reasons,21190962
sister,21189593
independent,21179831
moral,21160469
Chinese,21119898
instance,21111951
India,21106412
path,21092052
begin,21075289
produce,21050626
relationships,21049674
gives,21015768
serious,20996959
paid,20992950
leaving,20981608
nodded,20979174
cover,20948465
freedom,20942905
July,20936774
manner,20856800
teaching,20821716
check,20821286
leading,20804623
sitting,20802777
require,20802322
cancer,20792223
investment,20783162
construction,20780067
useful,20769887
holding,20764833
reach,20750018
rose,20730737
covered,20723395
claim,20710193
growing,20696385
laws,20685648
picture,20671215
hospital,20668881
capacity,20662404
caused,20630298
notice,20607466
pretty,20602483
okay,20598167
learned,20552163
sign,20530231
appears,20511904
equal,20504459
thoughts,20499222
looks,20475128
fast,20473214
lips,20463904
measure,20436346
filled,20366451
rise,20363731
older,20360886
rates,20349797
girls,20348420
desire,20347876
proposed,20329469
fully,20314456
popular,20313231
parties,20305788
measures,20304628
schools,20300972
sorry,20293507
female,20290759
offered,20282358
remain,20281907
caught,20255234
sexual,20249476
exercise,20236877
exchange,20183409
setting,20163515
otherwise,20144825
watch,20140145
wish,20117469
gas,20112684
heavy,20104330
plant,20099087
noted,20095541
hall,20086515
avoid,20055976
spent,20050364
nation,20044986
evening,20029895
relation,20026443
principles,19972012
families,19902319
spoke,19881466
follows,19839684
African,19833711
safe,19826772
soul,19746704
sample,19737303
administration,19733062
drive,19713419
benefits,19707627
perspective,19704310
requires,19703825
therapy,19664985
remains,19631540
operation,19616698
images,19578255
eight,19572600
perfect,19564791
contrast,19550776
religion,19547935
effort,19541348
goes,19509007
prior,19508281
style,19506479
occur,19498410
break,19494394
extent,19482777
seeing,19467866
doubt,19460866
teachers,19455312
includes,19426320
April,19391549
increasing,19388049
replied,19376452
balance,19370851
standards,19359094
understood,19356279
agency,19351254
chair,19342472
labor,19336590
conflict,19316378
remained,19302819
message,19298139
pass,19285330
suggested,19258075
teacher,19251093
visit,19245562
male,19236002
unless,19209446
loved,19206892
wind,19202256
edge,19196266
park,19191978
shook,19176403
identified,19173656
straight,19148779
vol,19127704
fingers,19124972
relevant,19088022
supply,19074060
marriage,19047318
organizations,18994404
serve,18975406
violence,18961008
successful,18944394
principle,18941219
file,18937811
institutions,18925461
color,18877269
actual,18874394
demand,18859936
definition,18833594
happen,18824581
month,18777024
attack,18776513
speech,18770526
efforts,18703908
arrived,18687885
title,18676856
identify,18649000
stories,18646380
shape,18618880
library,18562204
miles,18555352
piece,18550704
hit,18531721
concerned,18529977
interests,18511289
relative,18509403
speed,18501706
structures,18488473
chest,18483232
race,18478136
mentioned,18455790
charge,18448160
gold,18436022
developing,18431787
aware,18430366
attempt,18428332
January,18420404
pattern,18413430
summer,18408826
experiences,18378110
designed,18377969
September,18357385
reaction,18356231
foot,18353380
animals,18344735
aspects,18324879
Indian,18320735
shot,18318707
van,18309484
decisions,18277352
constant,18268418
soft,18262440
shoulder,18242612
eat,18240453
choose,18220310
existence,18198881
chief,18191472
leaders,18175853
operations,18175073
essential,18170947
dad,18167138
watched,18157038
stone,18156272
variety,18139332
alternative,18133684
overall,18109172
apply,18104342
collection,18087803
urban,18081202
web,18071979
shared,18068910
killed,18067291
online,18058854
uses,18049942
powerful,18038209
applications,18037835
December,18035925
policies,18025179
goal,18011881
Africa,17999952
sit,17992940
believed,17986233
target,17985735
trees,17976045
explained,17973737
reduced,17968103
characteristics,17965657
fight,17931894
island,17925250
married,17911830
scientific,17895364
evaluation,17882168
bottom,17880879
argument,17870965
touch,17850075
knows,17849020
objects,17837925
October,17805238
location,17797939
contract,17792412
doctor,17788310
responsibility,17773184
animal,17770746
parallel,17750505
electronic,17746437
latter,17732063
agreed,17719403
bill,17705806
circumstances,17704341
upper,17704119
persons,17648284
techniques,17639679
prepared,17597545
relatively,17590866
mine,17574490
vision,17574305
gender,17571899
benefit,17565835
external,17537083
names,17513907
neck,17501166
separate,17499525
existing,17497041
finding,17489014
reports,17472858
thousand,17472337
worth,17449561
knowing,17436271
transfer,17418765
strategies,17417887
ensure,17412770
rich,17400149
equation,17393820
played,17391278
resistance,17390325
speaking,17372744
firm,17368199
conversation,17329490
hell,17286999
progress,17274807
reduce,17273278
bar,17257356
version,17237229
responsible,17212009
letters,17207797
formed,17191522
eventually,17189293
leadership,17146252
double,17144508
boys,17134031
fixed,17131768
correct,17121047
credit,17108455
nations,17101197
crime,17062356
August,17046337
scene,17031891
details,17025856
plans,16998105
connection,16982565
co,16953047
communities,16930352
build,16922493
user,16913516
trial,16893664
goods,16886258
acid,16886164
concern,16878501
save,16855893
kitchen,16853468
Germany,16833257
receive,16830494
regarding,16819290
battle,16813480
generation,16764773
dog,16760917
stock,16758840
officer,16735198
opinion,16733031
suggest,16723431
bodies,16718101
spread,16699836
entered,16688603
ancient,16676222
frequency,16672562
fair,16668386
framework,16631922
sight,16625258
realized,16624820
motion,16623700
via,16603537
patterns,16597841
formation,16573506
nice,16551841
description,16544133
watching,16538435
helped,16531792
command,16530884
ship,16526047
holy,16525254
components,16517128
legs,16516307
walking,16468111
guy,16455042
Israel,16447754
answered,16444824
carry,16442106
element,16435065
slightly,16424567
equipment,16419638
describe,16414090
performed,16411610
corner,16409050
closer,16404640
minute,16395880
index,16385990
challenge,16371920
acts,16349321
warm,16344863
interesting,16336218
recently,16334445
employees,16333042
playing,16329383
feelings,16298566
anti,16278858
protein,16269644
fish,16258674
domestic,16194386
starting,16189697
tools,16185627
claims,16179739
copyright,16166962
changing,16157454
rock,16141226
philosophy,16136492
core,16095183
ibid,16092030
approaches,16091228
forced,16089788
fit,16084349
November,16080649
conference,16050316
procedure,16046424
majority,16036160
affect,16031546
silence,16022539
en,16017896
opening,16006465
turning,15983084
causes,15965373
improve,15954072
allows,15941215
enter,15913119
kill,15911091
agent,15884468
horse,15880428
wants,15853844
treated,15853497
hence,15845475
thanks,15820441
prevent,15790937
broken,15760931
laughed,15752392
client,15740487
suggests,15717434
division,15715002
send,15709896
fresh,15696576
machine,15681653
purposes,15671199
introduced,15667844
projects,15665626
creating,15662975
regional,15640203
technical,15636837
trouble,15632663
telling,15618928
thirty,15604073
units,15597060
impossible,15586521
industrial,15581940
slow,15574549
employment,15561639
goals,15557486
station,15543763
seat,15511229
crisis,15505400
cup,15502099
expect,15497466
exist,15496697
secret,15463656
sector,15444676
guide,15439968
annual,15436731
served,15432226
expressed,15420968
whereas,15417172
birth,15411857
variable,15407219
proper,15405017
hurt,15371831
output,15365351
medicine,15343707
square,15343507
drink,15336839
possibility,15320647
finished,15310088
providing,15305139
records,15286241
hill,15273462
strange,15254282
village,15247956
huge,15242016
dinner,15241179
emotional,15227387
practical,15195257
metal,15193427
creation,15186711
protect,15177992
managed,15169936
internet,15169306
ahead,15168038
store,15164705
coffee,15147419
interaction,15138977
release,15137169
typically,15133308
concepts,15129603
occurs,15123501
smaller,15118343
career,15115522
accept,15106513
moreover,15103238
named,15103206
spiritual,15095670
academic,15072520
gain,15072357
pointed,15069051
mom,15068226
quick,15045585
commercial,15024810
intended,15006331
regard,15004928
educational,14995297
psychology,14990841
dear,14990543
kids,14979578
advantage,14959255
selected,14956522
director,14943521
damage,14934743
interested,14931191
walls,14910767
testing,14908237
accepted,14907419
opportunities,14900765
dry,14899682
official,14898722
procedures,14897192
leaves,14894570
yeah,14893016
suppose,14877153
items,14864479
buy,14863066
wood,14855056
captain,14843539
signal,14839293
leader,14837280
spring,14833714
comparison,14829423
chemical,14824196
centre,14819648
quiet,14796007
wave,14795630
keeping,14795563
supposed,14782678
plants,14781335
criminal,14770780
empty,14764295
survey,14748192
frequently,14747940
becoming,14742115
duty,14731291
views,14729271
matters,14728523
afraid,14718862
background,14711666
southern,14694031
tears,14686033
forest,14684200
judge,14641501
clothes,14638670
soil,14627142
interpretation,14600225
focused,14596310
processing,14595212
merely,14576829
February,14567963
hearing,14550616
beside,14536453
Americans,14536151
joint,14529832
block,14517766
click,14516956
dream,14516234
achieve,14511194
tests,14504140
clean,14503684
contemporary,14495100
apart,14489822
sales,14485650
travel,14473848
county,14467945
California,14443824
regular,14440466
UK,14429629
imagine,14417454
papers,14411792
forth,14403784
cent,14395954
mission,14395661
maintain,14385755
maximum,14383842
fields,14375256
calls,14370322
sites,14361632
carefully,14348480
medium,14334880
variables,14334700
pre,14332064
selection,14328397
novel,14309872
unique,14303110
bear,14300918
failed,14299842
reduction,14281611
tradition,14261930
increases,14253483
located,14241615
evil,14218852
layer,14198697
secretary,14191422
represent,14162719
referred,14158719
cities,14151808
familiar,14147587
discuss,14127817
figures,14126055
contains,14117857
connected,14102733
authors,14102663
reserved,14102491
error,14099547
kingdom,14094437
ratio,14060215
concerns,14039652
youth,14039493
obvious,14014256
worse,14001390
cognitive,13997484
wild,13994504
visual,13991712
labour,13987023
stated,13976106
officers,13973039
participants,13968633
software,13966610
asking,13957679
guess,13957272
sky,13951394
map,13941339
formal,13936601
dropped,13933507
affected,13929583
signs,13927923
royal,13927904
challenges,13923898
insurance,13922456
climate,13920198
adult,13912617
noticed,13912384
experienced,13894355
entirely,13873832
showing,13865733
powers,13852517
engineering,13848760
cash,13832044
interview,13828444
Jewish,13821286
sufficient,13803541
sounds,13802721
ice,13802403
audience,13797581
pleasure,13776853
previously,13773584
listen,13745893
recognized,13740964
hotel,13737132
combination,13733443
enemy,13723071
agents,13697246
Japan,13695037
pushed,13688432
shift,13685713
picked,13685504
opposite,13672248
conduct,13654265
drugs,13653448
mode,13649715
intelligence,13645930
concentration,13645078
typical,13643364
feature,13628842
component,13616262
regulation,13613673
symptoms,13607354
advanced,13602802
screen,13571906
foundation,13567752
removed,13565918
Canada,13551912
soldiers,13550005
detail,13542692
sweet,13533982
grew,13524450
windows,13515208
seek,13512192
accounts,13507089
usual,13493233
iron,13491652
consequences,13472959
garden,13447966
leads,13438525
solid,13431364
wine,13411532
wonder,13405825
resulting,13404396
district,13401077
networks,13397637
Japanese,13395649
tissue,13391665
obtain,13387479
drawn,13386781
gaze,13379743
broad,13367892
dependent,13362256
appearance,13356040
grace,13353269
northern,13348542
stared,13348096
operating,13346642
bone,13341587
extended,13340214
subjects,13337686
song,13319478
nine,13317457
train,13311012
belief,13310705
options,13304009
chain,13295936
tool,13278255
draw,13277326
Britain,13255168
option,13254903
citizens,13252796
narrative,13251040
heaven,13238411
stepped,13236399
cycle,13234224
request,13233010
classes,13216975
ring,13211932
lose,13202676
native,13198950
conclusion,13196672
digital,13183134
promise,13176406
secondary,13165960
truly,13164290
winter,13162164
supported,13143892
assume,13141827
studied,13133342
represented,13132218
grow,13099140
researchers,13097646
tone,13075429
psychological,13066559
occurred,13051401
sides,13037124
brief,13025480
absence,13020584
bound,13006253
findings,13003451
specifically,13002779
controlled,12998404
recognition,12992983
significantly,12992087
device,12991598
fundamental,12990717
possibly,12989800
lie,12988848
input,12972410
perform,12940550
noise,12933189
measured,12920490
thin,12903406
technique,12901253
regions,12900083
lake,12897539
judgment,12883074
limit,12881937
aid,12866608
drew,12847553
professor,12812114
gets,12810769
discovered,12809791
severe,12804661
minister,12804492
anyway,12797657
representation,12792774
document,12781763
defense,12765932
parameters,12765359
false,12759007
argued,12757092
net,12749337
sets,12735915
beneath,12729354
objective,12721593
Greek,12711894
revolution,12711651
confidence,12709617
apparently,12708391
users,12698202
thick,12692207
mostly,12683956
ball,12673423
transport,12658192
drawing,12647492
assistance,12638112
shoulders,12613962
ourselves,12601409
spend,12596843
hardly,12584581
relief,12568703
sequence,12567109
situations,12550720
le,12546059
markets,12546010
respectively,12535271
concerning,12532038
afternoon,12527482
responses,12524786
implementation,12517385
bright,12511590
Roman,12494155
ended,12491622
spot,12481365
frame,12475146
willing,12470277
experimental,12453847
orders,12453689
subsequent,12435714
plane,12433684
journey,12429826
minimum,12429656
establish,12384219
offers,12383095
ordered,12375785
fourth,12375472
eds,12374782
outcomes,12363598
facts,12361158
funds,12360210
nevertheless,12355375
chosen,12347655
queen,12343394
laid,12342152
pair,12336689
nuclear,12333859
combined,12333851
Russian,12324619
drop,12323013
band,12318955
inner,12307247
surprise,12306300
gun,12291315
manager,12287667
dress,12286100
explanation,12282080
behaviour,12279566
affairs,12277416
select,12273247
reform,12265845
competition,12263068
pieces,12248991
bag,12245874
thou,12244208
increasingly,12240209
worry,12226478
somewhat,12220496
references,12217601
anger,12216649
agree,12208924
highest,12185457
resource,12184484
solutions,12183106
humans,12173420
remove,12172534
corporate,12164744
injury,12161768
obviously,12154172
silver,12151364
fat,12148909
resolution,12144176
camp,12132483
unable,12103449
club,12097549
largely,12090899
mountain,12089606
assumed,12088601
exposure,12088140
notion,12070409
adults,12068794
salt,12066103
linear,12064713
matrix,12059262
transition,12059104
alive,12055119
functional,12039782
radio,12037892
forget,12035756
passage,12025106
detailed,12023219
mechanism,12008942
pick,12007649
till,12001951
tend,11995637
star,11989363
remembered,11983343
shut,11971559
pull,11968396
indicate,11965378
participation,11956375
flat,11954400
join,11954126
accessed,11953202
display,11945955
indicated,11943815
pure,11940596
movements,11940190
eastern,11934579
surprised,11927411
kinds,11917670
structural,11916670
count,11914775
mid,11910301
carbon,11907417
extremely,11890531
divine,11886070
track,11882203
liked,11882183
edition,11881449
customer,11869392
video,11867179
sought,11866263
documents,11861017
escape,11859323
weak,11854149
represents,11852994
throat,11849342
bridge,11847024
permission,11828282
besides,11813826
similarly,11813122
link,11798017
putting,11795333
closely,11793001
waste,11787194
evolution,11781209
contain,11776587
muscle,11774359
partner,11763155
positions,11760725
